MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,DIGIKORE,DIGIKORE STUDIOS LIMITED,        63.50,        61.60,        63.95,        60.00,        60.80,                   367000.00,6000, ,       255.15,        57.10
N,ST,DIVINEHIRA,DIVINE HIRA JEWELLERS LTD,       227.00,       228.00,       231.05,       225.00,       231.05,                  4747360.00,20800, ,       257.75,        43.00
G,ST,DPEL,DIVINE POWER ENERGY LTD,       293.00,       293.20,       297.00,       293.20,       297.00,                  7101975.00,24000, ,       330.60,        92.05
G,ST,DHTL,DOCMODE HEALTH TECH LTD,        68.45,        67.10,        67.10,        67.10,        67.10,                    53680.00,800, ,       125.20,        36.90
N,SM,DOLLEX,DOLLEX AGROTECH LIMITED,        36.75,        34.40,        36.75,        33.00,        34.45,                  1516400.00,44000, ,        44.25,        32.00
N,SM,DRONE,DRONE DESTINATION LIMITED,        51.65,        52.20,        52.20,        51.15,        51.30,                   671375.00,13000, ,       166.30,        50.55
N,SM,DRSDILIP,DRS DILIP ROADLINES LTD.,        66.50,        69.80,        69.80,        69.80,        69.80,                    55840.00,800, ,       112.85,        52.25
N,SM,DUCOL,DUCOL ORGS AND COLOURS LT,       131.10,       134.00,       135.00,       133.55,       135.00,                  4741680.00,35200, ,       209.50,        93.50
N,SM,DUGLOBAL,DUDIGITAL GLOBAL LIMITED,        28.25,        30.50,        31.00,        28.00,        29.20,                  3042375.00,102500, ,        64.00,        26.50
N,SM,DURLAX,DURLAX TOP SURFACE LTD,        49.45,        49.45,        51.30,        47.25,        48.95,                  2995500.00,60000, ,        58.00,        30.55
N,SM,DYNAMIC,DYNAMIC SRVCS & SEC LTD,       133.75,       125.00,       134.85,       125.00,       131.30,                  1286550.00,10000, ,       301.80,        85.40
N,ST,EFACTOR,E FACTOR EXPERIENCES LTD,       275.00,       263.00,       283.35,       261.25,       283.35,                   746540.00,2800, ,       348.00,       127.50
N,SM,E2ERAIL,E TO E TRANS INFRA LTD,       210.40,       210.00,       211.15,       203.10,       203.80,                  6307200.00,30400, ,       347.10,       199.00
N,SM,ECOLINE,ECOLINE EXIM LIMITED,       132.00,       125.00,       134.00,       125.00,       134.00,                   259000.00,2000, ,       143.90,       115.00
N,SM,EFFWA,EFFWA INFRA & RESEARCH L,       203.40,       210.90,       210.90,       202.20,       203.20,                  1962680.00,9600, ,       270.00,       147.55
N,SM,ELGNZ,ELEGANZ INTERIORS LIMITED,        81.50,        81.50,        81.80,        81.50,        81.75,                   899100.00,11000, ,       163.50,        74.15
N,SM,EMAPARTNER,EMA PARTNERS INDIA LTD,        91.85,        91.85,        91.85,        85.00,        85.00,                   176850.00,2000, ,       147.00,        75.50
N,SM,ETML,EMERALD TYRE MANUF LTD,       105.00,       101.00,       101.00,       101.00,       101.00,                   242400.00,2400, ,       153.00,        90.00
N,SM,EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,       103.85,       104.00,       104.00,       101.00,       101.00,                    46327.50,450, ,       480.00,        88.00
